Line Number,CML ID,CML Type,Diameter,Spec,Schedule,Diameter_Sch,Event.Comments,Last Date,12 O'Clock,3 O'Clock,6 O'Clock,9 O'Clock,Minimum,Scan Type
50-WZ-53804-1CG,CML-1,CML: Elbow,50,1CG,80,5080,,23/05/2016,6.9,5.7,6.6,7.4,5.7,RADIAL
350-WF-71815-01F01,CML-5,CML: Elbow,150,1CG,40,15040,,7/06/2015,6.2,6,5,6.7,5,RADIAL
350-WF-71815-01F01,CML-8,CML: Elbow,80,01F01,80,8080,,5/03/2016,8.6,9.1,9.3,10.3,8.6,RADIAL
125-CW-33832-1LC,CML 3,CML: Elbow,125,1LC,XS,125XS,,20/06/2015,11.1,9.7,11.3,10.8,9.7,RADIAL
100-DH-56506-1CS,CML -6,CML: Elbow,100,1CS,XS,100XS,,14/06/2015,7.8,7.3,7.3,7.6,7.3,RADIAL
200-CW-33819-1LC,CML -1,CML: Elbow,200,1LC,XS,200XS,,18/06/2015,14.8,14.6,13.2,14.1,13.2,RADIAL
350-WF-71815-01F01,CML-38,CML: Equal Tee,50,1CG,80,5080,,27/08/2015,8,6.3,7,6.8,6.3,RADIAL
350-WF-71815-01F01,CML-7,CML: Elbow,100,1CS,XS,100XS,,28/08/2015,7.8,9.2,9.4,8.9,7.8,RADIAL
250-WF-71800-01F01,CML-20,CML: Elbow,250,01F01,80,25080,,22/02/2016,16.2,17.2,16,15.5,15.5,RADIAL
100-DN-56829-1CG,CML-11,CML: Reducing Tee,150,1CG,40,15040,,27/02/2016,8.9,8.9,10.2,9.4,8.9,RADIAL
350-WF-71815-01F01,CML -5,CML: Elbow,65,1CG,80,6580,,10/06/2015,6,5.6,7,7,5.6,RADIAL
50-WF-71956-01F01,CML-10,CML: Elbow,50,1CG,80,5080,,2/01/2016,6.2,6.6,7.6,6,6,RADIAL
350-WF-71815-01F01,CML-3,CML: Elbow,50,1CG,80,5080,,3/09/2015,6.6,7.2,8.2,6.8,6.6,RADIAL
350-WF-71815-01F01,CML-7,CML: Elbow,50,1CG,80,5080,,6/05/2016,6.1,7,6.9,5.5,5.5,RADIAL
100-DH-56508-1CS,CML -4,CML: Elbow,100,1CS,XS,100XS,,14/06/2015,8.4,8.3,7.4,8.8,7.4,RADIAL
250-WF-71813-01F01,CML-17,CML: Fitting,250,01F01,80,25080,,22/02/2016,17.5,16,16,16.4,16,RADIAL
250-WS-50836-1CG,CML 9,CML: Pipe Length,250,1LC,XS,250XS,,16/05/2015,11.3,12.8,11.3,11.9,11.3,RADIAL
350-WF-71815-01F01,CML-13,CML: Elbow,400,1CG,80,40080,,11/02/2016,22,20.5,20.5,21,20.5,RADIAL
250-WF-71811-1CG,CML-7,CML: Pipe Length,250,1CG,80,25080,,6/03/2016,17.4,16.5,15.9,17.3,15.9,RADIAL
350-WF-71815-01F01,CML-13,CML: Elbow,400,1CG,80,40080,,11/02/2016,22,20.5,20.5,21,20.5,RADIAL
350-WF-71815-01F01,CML -2,CML: Reducer,125,1LC,XS,125XS,,18/06/2015,8.6,9.9,10.2,9.3,8.6,RADIAL
350-WF-71815-01F01,CML-3,CML: Elbow,50,01F01,80,5080,,2/03/2016,7.2,5.7,7,7.1,5.7,RADIAL
25-WF-71893-01F01,CML-2,CML: Elbow,25,1CG,160,25160,,2/03/2016,8.3,7.3,8,9,7.3,RADIAL
100-DH-56508-1CS,CML -3,CML: Elbow,100,1CS,XS,100XS,,14/06/2015,7.4,8.4,8.1,8.6,7.4,RADIAL
100-WF-71860-01F01,CML-28,CML: Elbow,100,01F01,80,10080,,1/03/2016,10.3,10.4,8.9,10.2,8.9,RADIAL
300-WF-71817-01F01,CML-6,CML: Equal Tee,300,1CG,80,30080,,14/02/2016,16.6,16.5,18,16.7,16.5,RADIAL
50-WF-71922-01F01,CML-11,CML: Elbow,40,1CG,160,40160,,31/12/2015,10.2,9.5,8.5,9.6,8.5,RADIAL
150-WS-50825-1CG,CML -2,CML: Elbow,200,,80,20080,,10/06/2015,10.5,9.5,10.2,11.2,9.5,RADIAL
350-WF-71815-01F01,CML-5,CML: Elbow,100,01F01,80,10080,,1/03/2016,6.1,7.2,7.8,7,6.1,RADIAL
50-WF-71952-01F01,CML-3,CML: Elbow,50,1CG,80,5080,,6/03/2016,7.8,6.5,7.7,8.1,6.5,RADIAL
150-WF-71805-01F01,CML-2,CML: Fitting,150,01F01,80,15080,,21/02/2016,13.1,13.7,12,12.9,12,RADIAL
50-WF-71913-01F01,CML-3,CML: Equal Tee,50,1CG,80,5080,,30/12/2015,14.2,15.8,14.8,15.4,14.2,RADIAL
350-WF-71815-01F01,CML-105,CML: Elbow,300,1CG,80,30080,,11/02/2016,19.5,19.5,18.1,19.5,18.1,RADIAL
350-WF-71815-01F01,CML-105,CML: Elbow,300,1CG,80,30080,,11/02/2016,19.5,19.5,18.1,19.5,18.1,RADIAL
350-WF-71815-01F01,CML-1,CML: Elbow,65,1CG,40,6540,schedule not on drawing,27/08/2015,5.7,4,5,4.8,4,RADIAL
350-WF-71815-01F01,CML-8,CML: Elbow,50,1CG,80,5080,,4/09/2015,7.2,7,5.7,6.2,5.7,RADIAL
350-WF-71815-01F01,CML-5,CML: Elbow,100,1CG,80,10080,,8/06/2015,8.7,10.3,10,9.8,8.7,RADIAL
125-CW-33859-1LC,CML 2,CML: Elbow,125,1LC,XS,125XS,,25/06/2015,10.7,9.2,10.2,9.4,9.2,RADIAL
150-WS-50825-1CG,CML -10,CML: Elbow,200,,80,20080,,10/06/2015,11.2,11.7,10.4,12,10.4,RADIAL
300-WS-50805-1LC,CML -5,CML: Fitting,500,1LC,XS,500XS,,12/06/2015,13.1,13.3,14.1,14.6,13.1,RADIAL
200-WF-71802-01F01,CML-2,CML: Elbow,200,01F01,80,20080,,21/02/2016,13.4,11.9,13.3,12.6,11.9,RADIAL
150-WF-71852-01F01,CML-2,CML: Elbow,150,01F01,80,15080,,21/02/2016,11.7,11.6,12.4,13.1,11.6,RADIAL
350-WF-71815-01F01,CML 7,CML: Equal Tee,50,1CS,XS,50XS,,22/05/2015,7.1,6.9,6.6,8.2,6.6,RADIAL
350-WF-71815-01F01,CML-36,CML: Equal Tee,50,1CG,80,5080,,27/08/2015,8.5,6.9,8,7.4,6.9,RADIAL
350-WF-71815-01F01,CML-1,CML: Elbow,40,1CG,80,4080,,4/09/2015,8.1,8.6,9.7,9.2,8.1,RADIAL
80-WF-71830-01F01,CML-3,CML: Fitting,80,1CG,80,8080,,16/02/2016,9.7,8.2,8.3,9,8.2,RADIAL
250-WF-71819-01F01,CML-3,CML: Pipe Length,250,01F01,80,25080,,2/03/2016,17,17.3,15.7,16.6,15.7,RADIAL
150-CW-33847-1LC,CML -7,CML: Elbow,200,,80,20080,,10/06/2015,11,9.7,10.6,11.3,9.7,RADIAL
50-WF-71951-01F01,CML-6,CML: Reducing Tee,50,1CG,80,5080,,31/12/2015,15.4,15.7,16.1,17,15.4,RADIAL
350-WF-71815-01F01,CML-49,CML: Elbow,400,1CG,80,40080,,11/02/2016,20.9,21,21.8,20.1,20.1,RADIAL
250-WS-50816-1CG,CML-45,CML: Elbow,100,01F01,80,10080,,1/03/2016,10.8,10.5,11.2,12.1,10.5,RADIAL
350-WF-71815-01F01,CML-49,CML: Elbow,400,1CG,80,40080,,11/02/2016,20.9,21,21.8,20.1,20.1,RADIAL
100-WF-71827-01F01,CML-3,CML: Elbow,100,1CG,80,10080,,15/02/2016,9.2,10.4,10.7,10.6,9.2,RADIAL
350-WF-71815-01F01,CML-35,CML: Equal Tee,50,1CG,80,5080,,3/09/2015,7.6,8.9,9.2,8.6,7.6,RADIAL
200-OC-33801-1CS,CML-7,CML: Pipe Length,200,1CS,XS,200XS,,12/09/2015,11.9,12.8,11.4,12.8,11.4,RADIAL
100-FG-45809-1CS,CML 14,CML: Elbow,100,01C02,XS,100XS,,8/08/2015,6.6,6.1,6.5,6.5,6.1,RADIAL
25-WF-71893-01F01,CML-1,CML: Elbow,25,1CG,160,25160,,2/03/2016,8.3,7,8,8.6,7,RADIAL
350-WF-71815-01F01,CML 4,CML: Pipe Length,100,1LC,XS,100XS,,19/06/2015,8.1,8.4,9.6,8.2,8.1,RADIAL
80-WF-71830-01F01,CML 3,CML: Elbow,200,1LC,XS,200XS,,26/05/2015,13.5,12.3,12,12.1,12,RADIAL
100-WF-71827-01F01,CML 1,CML: Elbow,125,1LC,XS,125XS,,20/06/2015,9.8,9.8,8.9,10.6,8.9,RADIAL
250-WF-71800-01F01,CML-2,CML: Elbow,250,1CG,80,25080,,15/02/2016,15.2,16,16.9,16,15.2,RADIAL
250-DC-57803-1CS,CML-2,CML: Fitting,250,01F01,80,25080,,22/02/2016,15.2,16.1,16.9,16.1,15.2,RADIAL
350-WF-71815-01F01,CML-4,CML: Elbow,300,01F01,80,30080,,17/02/2016,18,19.2,18,19.2,18,RADIAL
100-FG-45809-1CS,CML 7,CML: Pipe Length,100,01C02,XS,100XS,,8/08/2015,6.1,6.2,6.3,6.4,6.1,RADIAL
300-WF-71816-01F01,CML-12,CML: Elbow,300,01F01,80,30080,,16/02/2016,17.9,18.1,18.1,19.4,17.9,RADIAL
150-CW-33847-1LC,CML 6,CML: Pipe Length,250,1CS,XS,250XS,,27/05/2015,11,11,10.8,12.3,10.8,RADIAL
80-OC-30802-1LC,CML-2,CML: Equal Tee,80,1LC,80,8080,,10/09/2015,9.6,10.3,10.2,8.8,8.8,RADIAL
50-WF-71915-01F01,CML-2,CML: Elbow,40,1CG,160,40160,,30/12/2015,8.2,8.5,9.6,8.1,8.1,RADIAL
100-WF-71914-01F01,CML-12,CML: Elbow,100,1CG,80,10080,,31/12/2015,10.5,9.4,9,9.1,9,RADIAL
100-WF-71860-01F01,CML-21,CML: Elbow,100,01F01,80,10080,,1/03/2016,10.4,9.3,10.8,10.7,9.3,RADIAL
350-WF-71815-01F01,CML-6,CML: Elbow,50,1CG,80,5080,,6/05/2016,6,6.5,5.1,6.6,5.1,RADIAL
150-WC-40819-1CS,CML -3,CML: Elbow,150,1CS,XS,150XS,,13/06/2015,10.8,9.5,9.7,10.2,9.5,RADIAL
150-DC-57811-1CS,CML 6,CML: Elbow,150,1CS,XS,150XS,,25/05/2015,10.6,11.3,11.1,11.2,10.6,RADIAL
350-WF-71815-01F01,CML 7,CML: Elbow,50,,80S,5080S,Material class on iso marked as 1SS,7/08/2015,4.5,5.9,6,5.5,4.5,RADIAL
250-WS-50836-1CG,CML-16,CML: Elbow,125,1CG,80,12580,,8/06/2015,8.9,10.3,9.4,8.8,8.8,RADIAL
125-WS-50833-1CG,CML-10,CML: Elbow,125,1CG,80,12580,,8/06/2015,11.8,10.3,11.2,10.5,10.3,RADIAL
350-WF-71815-01F01,CML-2,CML: Elbow,65,1LC,80,6580,,11/09/2015,8.6,10,10,9.9,8.6,RADIAL
150-WF-71803-01F01,CML-1,CML: Elbow,150,01F01,80,15080,,21/02/2016,12.6,12.7,12.6,14,12.6,RADIAL
350-WF-71815-01F01,CML-3,CML: Elbow,25,1CG,160,25160,,30/08/2015,5.3,6.9,6.5,6.4,5.3,RADIAL
350-WF-71815-01F01,CML 21,CML: Equal Tee,100,1CS,40,10040,,23/05/2015,9,8.5,10,8.6,8.5,RADIAL
100-WF-71845-01F01,CML-4,CML: Elbow,100,1CG,80,10080,,3/01/2016,9.6,10,11,9.5,9.5,RADIAL
100-WF-71930-01F01,CML-4,CML: Elbow,100,1CG,80,10080,,16/01/2016,8.9,10.1,10,10.5,8.9,RADIAL
50-WF-71934-01F01,CML-3,CML: Reducing Tee,50,1CG,80,5080,,16/01/2016,14.9,15,15.4,13.8,13.8,RADIAL
350-WF-71815-01F01,CML-13,CML: Elbow,100,01F01,80,10080,,1/03/2016,9,10.4,10.4,9.6,9,RADIAL
50-WF-71958-01F01,CML-10,CML: Elbow,40,1CG,160,40160,,17/01/2016,8.3,8.7,8.9,9.9,8.3,RADIAL
350-WF-71815-01F01,CML 5,CML: Elbow,150,1CS,XS,150XS,,14/05/2015,8.8,10,9.8,10.4,8.8,RADIAL
40-WF-71891-1CG,CML-2,CML: Elbow,40,1CG,160,40160,,6/03/2016,10.1,10.5,10.8,11.7,10.1,RADIAL
350-WF-71815-01F01,CML-83,CML: Elbow,350,1CG,80,35080,,11/02/2016,7.5,8.4,8.7,9.1,7.5,RADIAL
350-WF-71815-01F01,CML-83,CML: Elbow,350,1CG,80,35080,,11/02/2016,7.5,8.4,8.7,9.1,7.5,RADIAL
350-WF-71815-01F01,CML 5,CML: Elbow,80,1CS,XS,80XS,,27/06/2015,8.8,7.6,7.3,8.3,7.3,RADIAL
350-WF-71815-01F01,CML 1,CML: Elbow,50,1CS,XS,50XS,,18/05/2015,5.7,5.6,5.4,6.9,5.4,RADIAL
400-OC-30803-1LC,CML-13,CML: Pipe Length,400,1LC,XS,400XS,,11/09/2015,13.1,14.3,14.4,14.6,13.1,RADIAL
350-WF-71815-01F01,CML-22,CML: Elbow,65,1CG,80,6580,,11/02/2016,8,8.2,9.5,8.3,8,RADIAL
350-WF-71815-01F01,CML-22,CML: Elbow,65,1CG,80,6580,,11/02/2016,8,8.2,9.5,8.3,8,RADIAL
100-WF-71827-01F01,CML-7,CML: Elbow,100,1CG,80,10080,,8/06/2015,9.8,9.7,10,8.5,8.5,RADIAL
350-WF-71815-01F01,CML-3,CML: Reducer,300,01F01,80,30080,,17/02/2016,17.2,17.4,17.5,18.7,17.2,RADIAL
350-WF-71815-01F01,CML-47,CML: Equal Tee,50,1CG,80,5080,,3/09/2015,8.7,8,9,7.5,7.5,RADIAL
350-WF-71815-01F01,CML-3,CML: Elbow,100,1CS,XS,100XS,,28/08/2015,7.7,9.3,8.8,8.8,7.7,RADIAL
250-WF-71800-01F01,CML-2,CML: Elbow,250,01F01,80,25080,,2/03/2016,16.2,15.1,16.2,16.7,15.1,RADIAL
250-WS-50836-1CG,CML-13,CML: Elbow,125,1CG,80,12580,,8/06/2015,9.8,9.4,10.9,10.5,9.4,RADIAL
350-WF-71815-01F01,CML-29,CML: Elbow,50,1CG,80,5080,,27/08/2015,5.9,5.9,4.5,5.7,4.5,RADIAL
250-DC-57803-1CS,CML 3,CML: Elbow,250,1LC,XS,250XS,,21/06/2015,15.2,13.7,15,14.4,13.7,RADIAL
300-WF-71816-01F01,CML-7,CML: Elbow,300,01F01,80,30080,,15/02/2016,19.5,19.1,20.1,18.5,18.5,RADIAL
100-WF-71860-01F01,CML-56,CML: Elbow,100,01F01,80,10080,,1/03/2016,11.2,11.3,11.8,10.2,10.2,RADIAL
125-WC-40836-1CG,CML-4,CML: Elbow,125,1CG,80,12580,,28/08/2015,9.9,10.1,11.3,9.9,9.9,RADIAL
50-WF-71958-01F01,CML-3,CML: Elbow,50,1CG,80,5080,,17/01/2016,5.3,5.8,5.9,6.9,5.3,RADIAL
250-WF-71811-1CG,CML-21,CML: Elbow,250,1CG,80,25080,,6/03/2016,16.2,17.3,15.7,16.3,15.7,RADIAL
50-WF-71945-01F01,CML-5,CML: Elbow,40,1CG,160,40160,,18/01/2016,8.5,8.7,10,8.9,8.5,RADIAL
350-WF-71815-01F01,CML 18,CML: Elbow,150,1CS,,150,Schedule not wrote on isometric drawing ,8/08/2015,8.1,7,8,8.6,7,RADIAL
100-DN-56829-1CG,CML-9,CML: Reducing Tee,150,1CG,40,15040,,27/02/2016,8.9,9,9.2,8.9,8.9,RADIAL
100-WF-71860-01F01,CML-40,CML: Elbow,100,01F01,80,10080,,1/03/2016,9.5,9,10.6,9.8,9,RADIAL
150-CW-33853-1LC,CML 6,CML: Reducing Tee,150,1LC,XS,150XS,,26/06/2015,12.7,11.4,12.5,12.9,11.4,RADIAL
80-WF-71810-01F01,CML-2,CML: Elbow,80,01F01,80,8080,,22/02/2016,10.7,9.9,9.1,9.6,9.1,RADIAL
350-WF-71815-01F01,CML-106,CML: Elbow,300,1CG,80,30080,,11/02/2016,19.5,18.8,18.1,19.5,18.1,RADIAL
350-WF-71815-01F01,CML-106,CML: Elbow,300,1CG,80,30080,,11/02/2016,19.5,18.8,18.1,19.5,18.1,RADIAL
350-WF-71815-01F01,CML-211,CML: Elbow,350,1CG,80,35080,,11/02/2016,18.2,19.5,19.5,19.6,18.2,RADIAL
350-WF-71815-01F01,CML-211,CML: Elbow,350,1CG,80,35080,,11/02/2016,18.2,19.5,19.5,19.6,18.2,RADIAL
350-WF-71815-01F01,CML-1,CML: Elbow,50,1CG,80,5080,,6/05/2016,6.6,5.9,5.1,6.4,5.1,RADIAL
350-WF-71815-01F01,CML-1,CML: Elbow,50,1CG,80,5080,,26/08/2015,6.5,6.6,6.5,5.2,5.2,RADIAL
350-WF-71815-01F01,CML-104,CML: Elbow,300,1CG,80,30080,,11/02/2016,19.6,19.7,18.3,18.8,18.3,RADIAL
50-WZ-53804-1CG,CML-3,CML: Elbow,50,1CG,80,5080,,7/05/2016,6.2,7.6,7.5,7.5,6.2,RADIAL
350-WF-71815-01F01,CML-104,CML: Elbow,300,1CG,80,30080,,11/02/2016,19.6,19.7,18.3,18.8,18.3,RADIAL
100-WF-71846-01F01,CML-6,CML: Elbow,100,1CG,80,10080,,2/01/2016,9.3,10.6,10.6,10.7,9.3,RADIAL
100-WF-71846-01F01,CML-1,CML: Elbow,100,1CG,80,10080,,2/01/2016,10.2,10.7,9.2,10.5,9.2,RADIAL
350-WF-71815-01F01,CML 21,CML: Elbow,50,,80S,5080S,Material class on iso marked as 1SS,7/08/2015,4.2,5.7,5.2,5.5,4.2,RADIAL
350-WF-71815-01F01,CML -9,CML: Elbow,65,1CG,80,6580,,10/06/2015,6.1,6.4,5,6.4,5,RADIAL
350-WF-71815-01F01,CML-5,CML: Reducer,50,1CG,80,5080,,27/08/2015,6.9,5.5,6.5,5.7,5.5,RADIAL
200-OC-33801-1CS,CML-8,CML: Elbow,200,1CS,XS,200XS,,12/09/2015,13.2,13.8,14.6,13.2,13.2,RADIAL
50-WF-71925-01F01,CML-5,CML: Elbow,50,1CG,80,5080,,16/01/2016,5.4,6.2,6.4,7,5.4,RADIAL
100-FG-45809-1CS,CML 3,CML: Elbow,100,01C02,XS,100XS,,8/08/2015,6.2,6.6,7.3,6.3,6.2,RADIAL
250-PW-44812-1LC,CML 5,CML: Elbow,250,1LC,XS,250XS,,15/05/2015,12.7,11.9,11.5,12.9,11.5,RADIAL
250-PW-44812-1LC,CML 5,CML: Elbow,250,1LC,XS,250XS,,15/05/2015,12.7,11.9,11.5,12.9,11.5,RADIAL
350-WF-71815-01F01,CML-23,CML: Elbow,50,1CG,80,5080,,3/09/2015,6.5,6.7,7.3,5.7,5.7,RADIAL
350-WF-71815-01F01,CML-4,CML: Elbow,50,01F01,80,5080,,26/08/2015,6.4,5.8,4.8,5.7,4.8,RADIAL
350-WF-71815-01F01,CML-9,CML: Elbow,40,1LC,80,4080,,11/09/2015,4.4,6,5,5.1,4.4,RADIAL
350-WF-71815-01F01,CML-4,CML: Elbow,40,1CG,,40,"No iso on system, cannot confirm nominal wall thickness",7/03/2016,8.8,8.2,8.9,9.8,8.2,RADIAL
150-WF-71517-01F01,CML-1,CML: Elbow,150,01F01,80,15080,,18/02/2016,12.7,13.3,11.7,12.6,11.7,RADIAL
200-WF-71802-01F01,CML-1,CML: Elbow,200,01F01,80,20080,,21/02/2016,13.3,11.8,12.8,12.2,11.8,RADIAL
350-WF-71815-01F01,CML-21,CML: Elbow,50,01F01,80,5080,,27/02/2016,8,6.5,7.5,6.9,6.5,RADIAL
100-DN-56552-1CG,CML 4,CML: Equal Tee,100,1CG,80,10080,,26/06/2015,10.7,9,10.4,10.8,9,RADIAL
80-WF-71830-01F01,CML-3,CML: Elbow,200,01F01,80,20080,,21/02/2016,13.7,13.1,13.8,14.7,13.1,RADIAL
350-WF-71815-01F01,CML-254,CML: Equal Tee,65,1CG,80,6580,,11/02/2016,8.9,9.1,9.8,8.2,8.2,RADIAL
350-WF-71815-01F01,CML-254,CML: Equal Tee,65,1CG,80,6580,,11/02/2016,8.9,9.1,9.8,8.2,8.2,RADIAL
80-WF-71830-01F01,CML-6,CML: Equal Tee,80,1CG,80,8080,,16/02/2016,11.3,10.1,9.8,10.2,9.8,RADIAL
350-WF-71815-01F01,CML 8,CML: Elbow,50,1CS,XS,50XS,,18/05/2015,5.8,5.1,6.7,5.8,5.1,RADIAL
350-WF-71815-01F01,CML-7,CML: Elbow,80,1LC,XS,80XS,,10/09/2015,8.6,7.1,8.3,7.8,7.1,RADIAL
50-WF-71957-01F01,CML-6,CML: Elbow,50,1CG,80,5080,,2/01/2016,5.9,6.7,7.4,6.2,5.9,RADIAL
350-WF-71815-01F01,CML-14,CML: Elbow,50,01F01,80,5080,,28/02/2016,5.4,6.3,6.3,7,5.4,RADIAL
150-WF-71852-01F01,CML-1,CML: Elbow,150,01F01,80,15080,,21/02/2016,13.9,13.2,12.3,13.2,12.3,RADIAL
350-WF-71815-01F01,CML-3,CML: Elbow,100,1CS,XS,100XS,,28/08/2015,7.2,8.7,8.4,7.9,7.2,RADIAL
100-WF-71914-01F01,CML-9,CML: Elbow,100,1CG,80,10080,,31/12/2015,10.4,9,9.1,9.8,9,RADIAL
300-PW-44802-1LC,CML 13,CML: Pipe Length,300,1LC,XS,300XS,,16/05/2015,12.7,12.7,11.4,11.8,11.4,RADIAL
350-WF-71815-01F01,CML-3,CML: Elbow,250,01F01,80,25080,,22/02/2016,8.7,7.3,8.5,8.6,7.3,RADIAL
450-WS-50804-1LC,CML -13,CML: Elbow,450,1LC,XS,450XS,,11/06/2015,13.1,12.9,13,11.7,11.7,RADIAL
350-WF-71815-01F01,CML-27,CML: Elbow,50,1CG,80,5080,,27/08/2015,6.2,6.3,4.9,6.1,4.9,RADIAL
350-WF-71815-01F01,CML-3,CML: Elbow,50,01F01,80,5080,,2/03/2016,7.6,6.4,7.7,7.8,6.4,RADIAL
150-WF-71815-01F01,CML-5,CML: Elbow,150,01F01,80,15080,,18/02/2016,12.7,12.6,11.4,12.8,11.4,RADIAL
350-WF-71815-01F01,CML-6,CML: Elbow,40,1CG,80,4080,,6/05/2016,7,8.2,8,8.5,7,RADIAL
250-PW-44801-1LC,CML 5,CML: Elbow,150,1LC,XS,150XS,,17/05/2015,11.1,10.8,9.6,10.6,9.6,RADIAL
400-OC-30803-1LC,CML-2,CML: Pipe Length,400,1LC,XS,400XS,,11/09/2015,12.7,13.2,11.7,12.9,11.7,RADIAL
350-WF-71815-01F01,CML-37,CML: Elbow,65,1CG,80,6580,,11/02/2016,6.9,8.2,8.2,8.2,6.9,RADIAL
350-WF-71815-01F01,CML-37,CML: Elbow,65,1CG,80,6580,,11/02/2016,6.9,8.2,8.2,8.2,6.9,RADIAL
100-WF-71923-01F01,CML-3,CML: Reducing Tee,100,1CG,80,10080,,3/01/2016,10.6,9.7,10.9,9.6,9.6,RADIAL
350-WF-71815-01F01,CML-72,CML: Fitting,400,1CG,80,40080,,11/02/2016,19.7,19.4,18.2,19.1,18.2,RADIAL
350-WF-71815-01F01,CML-72,CML: Fitting,400,1CG,80,40080,,11/02/2016,19.7,19.4,18.2,19.1,18.2,RADIAL
80-WF-71830-01F01,CML-6,CML: Elbow,150,1LC,XS,150XS,,10/09/2015,13.6,13.5,12.3,12.6,12.3,RADIAL
350-WF-71815-01F01,CML-22,CML: Elbow,50,1CG,80,5080,,3/09/2015,7.4,6.3,6.1,6,6,RADIAL
100-WF-71812-01F01,CML-2,CML: Elbow,100,1CG,80,10080,,16/01/2016,9.4,10.1,9.5,10.8,9.4,RADIAL
250-CW-33828-1LC,CML 13,CML: Reducing Tee,250,1LC,XS,250XS,,21/06/2015,15.6,16.3,15,14.9,14.9,RADIAL
300-PW-44802-1LC,CML 23,CML: Pipe Length,300,1LC,XS,300XS,,16/05/2015,11.9,11.2,12.5,12.6,11.2,RADIAL
350-WF-71815-01F01,CML-42,CML: Elbow,50,1CG,80,5080,,3/09/2015,5.9,6.4,6.9,5.4,5.4,RADIAL
100-DH-56506-1CS,CML -7,CML: Elbow,100,1CS,XS,100XS,,14/06/2015,8.3,8.4,7.4,8.5,7.4,RADIAL
350-WF-71815-01F01,CML -4,CML: Elbow,65,1CG,80,6580,,10/06/2015,6.1,6,5.8,4.7,4.7,RADIAL
100-FG-45809-1CS,CML 15,CML: Elbow,100,01C02,XS,100XS,,8/08/2015,6.5,6.2,7,7.2,6.2,RADIAL
50-WF-71952-01F01,CML-6,CML: Elbow,40,1CG,160,40160,,6/03/2016,9.4,8.5,9.6,8.3,8.3,RADIAL
350-WF-71815-01F01,CML 10,CML: Elbow,100,1LC,XS,100XS,,19/06/2015,6,4.9,4.9,4.5,4.5,RADIAL
350-WF-71815-01F01,CML-2,CML: Elbow,25,1CG,XS,25XS,,24/02/2016,6.7,6.7,5.6,7.1,5.6,RADIAL
350-WF-71815-01F01,CML -2,CML: Elbow,125,1CS,XS,125XS,,16/06/2015,8,7.8,9.2,8.7,7.8,RADIAL
300-WF-71816-01F01,CML-5,CML: Elbow,300,01F01,80,30080,,15/02/2016,19.4,19.4,19.6,18.2,18.2,RADIAL
100-WF-71827-01F01,CML-13,CML: Elbow,100,1CG,80,10080,,15/02/2016,10.2,11.6,10.4,10.4,10.2,RADIAL
100-FG-45809-1CS,CML 1,CML: Elbow,100,01C02,XS,100XS,,8/08/2015,6.4,6.2,6.4,7.1,6.2,RADIAL
80-WF-71830-01F01,CML-2,CML: Elbow,80,1CG,80,8080,,16/02/2016,9.7,9.7,8.5,8.7,8.5,RADIAL
250-DC-57802-1CS,CML 10,CML: Pipe Length,250,1CS,XS,250XS,,27/05/2015,12.9,13,12.6,11.2,11.2,RADIAL
100-FG-45809-1CS,CML 18,CML: Elbow,100,01C02,XS,100XS,,8/08/2015,6.5,6.2,6.7,7.1,6.2,RADIAL
100-WF-71858-01F01,CML-9,CML: Elbow,100,01F01,80,10080,,27/02/2016,10,11.2,11.2,10.2,10,RADIAL
350-WF-71815-01F01,CML-189,CML: Fitting,350,1CG,80,35080,,11/02/2016,16.5,15.2,16.6,16,15.2,RADIAL
150-WC-40819-1CS,CML -4,CML: Elbow,150,1CS,XS,150XS,,13/06/2015,10.9,11.5,10.2,10,10,RADIAL
50-WF-71912-01F01,CML-4,CML: Elbow,40,1CG,160,40160,,30/12/2015,9.8,8.5,8.4,8.8,8.4,RADIAL
450-WS-50804-1LC,CML -38,CML: Elbow,450,1LC,XS,450XS,,11/06/2015,9.6,10,9.9,8.6,8.6,RADIAL
350-WF-71815-01F01,CML 3,CML: Equal Tee,50,1CS,XS,50XS,,29/06/2015,7.3,7.6,7.2,8.6,7.2,RADIAL
100-DO-62852-1CS,CML 3,CML: Elbow,100,1CS,XS,100XS,,6/08/2015,9.2,7.8,8.7,9.1,7.8,RADIAL
250-PW-44812-1LC,CML 6,CML: Elbow,250,1LC,XS,250XS,,15/05/2015,10.5,11.6,12,11.2,10.5,RADIAL
250-PW-44812-1LC,CML 6,CML: Elbow,250,1LC,XS,250XS,,15/05/2015,10.5,11.6,12,11.2,10.5,RADIAL
150-CW-33846-1LC,CML 5,CML: Elbow,125,1LC,XS,125XS,,23/06/2015,11.4,10.4,11.8,11.7,10.4,RADIAL
350-WF-71815-01F01,CML 3,CML: Elbow,100,1CS,XS,100XS,,25/05/2015,8.7,9.4,7.9,8.3,7.9,RADIAL
100-WF-71827-01F01,CML-21,CML: Fitting,100,1CG,80,10080,,15/02/2016,10.7,9.4,9.4,10.2,9.4,RADIAL
350-WF-71815-01F01,CML-151,CML: Elbow,300,1CG,80,30080,,11/02/2016,20,20.1,18.7,19.6,18.7,RADIAL
350-WF-71815-01F01,CML-151,CML: Elbow,300,1CG,80,30080,,11/02/2016,20,20.1,18.7,19.6,18.7,RADIAL
