Line Number,CML ID,CML Type,Diameter,Spec,Schedule,Diameter_Sch,Event.Comments,Last Date,12 O'Clock,3 O'Clock,6 O'Clock,9 O'Clock,Minimum,Scan Type
350-WF-71815-01F01,CML-162,CML: Elbow,300,1CG,80,30080,,11/02/2016,20.4,19.6,19.5,19.5,19.5,RADIAL
350-WF-71815-01F01,CML-162,CML: Elbow,300,1CG,80,30080,,11/02/2016,20.4,19.6,19.5,19.5,19.5,RADIAL
350-WF-71815-01F01,CML 1,CML: Reducer,125,1LC,XS,125XS,,19/06/2015,8.9,9.1,9.9,9.2,8.9,RADIAL
250-CW-33828-1LC,CML 31,CML: Reducing Tee,250,1LC,XS,250XS,,21/06/2015,15.6,16.1,16.6,15.8,15.6,RADIAL
350-WF-71815-01F01,CML-1,CML: Elbow,50,1CG,80,5080,,3/06/2015,6.9,6.4,6.1,5.9,5.9,RADIAL
125-CW-33849-1LC,CML 5,CML: Elbow,125,1LC,XS,125XS,,23/06/2015,10.4,10.9,10.1,9.9,9.9,RADIAL
150-DH-56802-1CS,CML-5,CML: Elbow,100,1CG,80,10080,,22/02/2016,9.5,9.1,10,10.2,9.1,RADIAL
250-DC-57803-1CS,CML 3,CML: Pipe Length,250,1CS,XS,250XS,,26/05/2015,11.9,12.1,12.9,12.4,11.9,RADIAL
100-WF-71858-01F01,CML-19,CML: Elbow,100,01F01,80,10080,,27/02/2016,9.5,9.5,10.2,10.3,9.5,RADIAL
350-WF-71815-01F01,CML-88,CML: Elbow,350,1CG,80,35080,,11/02/2016,20.3,20.3,19.5,19.6,19.5,RADIAL
150-DS-66802-1CG,CML-6,CML: Equal Tee,150,1CG,80,15080,,5/05/2016,13.3,14,14,13.2,13.2,RADIAL
350-WF-71815-01F01,CML-88,CML: Elbow,350,1CG,80,35080,,11/02/2016,20.3,20.3,19.5,19.6,19.5,RADIAL
350-WF-71815-01F01,CML 11,CML: Elbow,100,1LC,XS,100XS,,19/06/2015,4.3,4.3,5.1,5,4.3,RADIAL
350-WF-71815-01F01,CML 1,CML: Elbow,50,1CS,XS,50XS,,28/06/2015,4.8,5.6,5.8,5.3,4.8,RADIAL
350-WF-71815-01F01,CML-4,CML: Reducer,50,1CG,80,5080,,27/08/2015,7,6.9,6.2,7.2,6.2,RADIAL
350-WF-71815-01F01,CML-2,CML: Reducer,50,01F01,80,5080,,26/08/2015,7.4,7.3,8.1,7.1,7.1,RADIAL
350-WF-71815-01F01,CML 10,CML: Elbow,80,1CS,XS,80XS,,27/06/2015,7.1,7.4,7.3,8.1,7.1,RADIAL
100-WF-71941-01F01,CML-4,CML: Reducing Tee,100,1CG,80,10080,,18/01/2016,10.4,9.9,10.2,9.4,9.4,RADIAL
