LOOKUP_VALUE,LOOKUP_RESULT
150-DC-57041-01C02,FPSO-CL-TS-DC-01
150-DC-57308-01C03,FPSO-CL-TS-DC-02
150-DC-57309-01C03,FPSO-CL-TS-DC-02
150-DH-56080-01C02,FPSO-CL-TS-DH-01
150-FG-45002-03C02,FPSO-CL-TS-FG-06
150-FG-45003-03C02,FPSO-CL-TS-FG-04
150-FG-45004-03C02,FPSO-CL-TS-FG-04
150-FG-45005-03C02-E,FPSO-CL-TS-FG-02
150-FG-45009-01C02-E,FPSO-CL-TS-FG-02
150-FG-45038-03C02,FPSO-CL-TS-FG-04
150-FG-45051-03C02,FPSO-CL-TS-FG-04
150-FG-45052-03C02,FPSO-CL-TS-FG-04
150-FG-45505-01C02,FPSO-CL-TS-FG-01
150-FH-43017-01C02,FPSO-CL-TS-FH-01
150-FH-43026-01C02,FPSO-CL-TS-FH-01
150-FH-43027-01C02,FPSO-CL-TS-FH-01
150-FH-43116-01C02,FPSO-CL-TS-FH-01
150-FH-43121-01C02,FPSO-CL-TS-FH-01
150-FH-43127-01C02,FPSO-CL-TS-FH-01
150-FH-43134-01C02,RD-01
150-FH-43136-01C02,FPSO-CL-TS-FH-01
150-FH-43141-01C02,FPSO-CL-TS-FH-01
150-FH-43148-01S01,FPSO-CL-TS-FH-02
150-FH-43149-01S01,FPSO-CL-TS-FH-02
150-FH-43157-01C02,FPSO-CL-TS-FH-01
150-FH-43300-25S01-P,FPSO-CL-TS-FH-02
150-FH-43301-01S01,FPSO-CL-TS-FH-02
150-FH-43313-01S01-P,FPSO-CL-TS-FH-02
150-FH-43407-01C02,FPSO-CL-TS-FH-01
150-FH-43502-01C02,FPSO-CL-TS-FH-01
150-FH-43505-01C02,FPSO-CL-TS-FH-01
150-FH-43517-01C02,FPSO-CL-TS-FH-01
150-FH-43518-01C02,FPSO-CL-TS-FH-01
150-FL-43076-01C02,FPSO-CL-TS-FL-01
150-FL-43084-01C02,FPSO-CL-TS-FL-01
150-FL-43174-01C02,FPSO-CL-TS-FL-01
150-FL-43175-01C02,FPSO-CL-TS-FL-01
150-FL-43304-01C02,FPSO-CL-TS-FL-01
150-FL-43450-01C02-P,FPSO-CL-TS-FL-02
150-FL-43451-01C02,FPSO-CL-TS-FL-01
150-FL-43452-01C02,FPSO-CL-TS-FL-02
150-FL-43453-01C02,FPSO-CL-TS-FL-01
150-FL-43458-01C02,FPSO-CL-TS-FL-01
150-FL-43514-01C02,FPSO-CL-TS-FL-01
150-OC-33800-1LC,FPSO-CL-MA-OC-03
150-OC-33806-1LC,FPSO-CL-MA-OC-03
150-OC-33914-XXX,FPSO-CL-MA-OC-02
150-PG-20009-01C03-P,FPSO-CL-TS-PG-01
150-PG-20031-01C03-P,FPSO-CL-TS-PG-01
150-PG-20043-01D01-P,FPSO-CL-TS-PG-02
150-PG-20054-01C03-P,FPSO-CL-TS-PG-01
150-PG-20055-01C03-P,FPSO-CL-TS-PG-01
150-PG-20062-01C03-P,FPSO-CL-TS-PG-01
150-PG-20507-01C03-P,FPSO-CL-TS-PG-01
150-PG-23010-25C02-PA,FPSO-CL-TS-PG-09
150-PG-23011-25C02-A,FPSO-CL-TS-PG-09
150-PG-23012-25C02-A,FPSO-CL-TS-PG-09
150-PG-23026-09C02-P,FPSO-CL-TS-PG-04
150-PG-23029-25C04-P,RD-01
150-PG-23037-25C02-A,FPSO-CL-TS-PG-09
150-PG-23043-06C02-P,FPSO-CL-TS-PG-04
150-PG-23045-06C02-P,FPSO-CL-TS-PG-04
150-PG-23047-09C02-P,FPSO-CL-TS-PG-04
150-PG-23402-01C02-PA,FPSO-CL-TS-RP-01
150-PG-23403-01C03-A,FPSO-CL-TS-RP-01
150-PG-23404-01D03-A,FPSO-CL-TS-RP-01
150-PG-23506-25C02,FPSO-CL-TS-PG-08
150-PG-23L9008-GD20-P-50,FPSO-CL-TS-PG-07
150-PG-23L9009-GD20-P-50,FPSO-CL-TS-PG-10
150-PL-20029-01C02-P,FPSO-CL-TS-PL-01
150-PL-20050-01C02-P,FPSO-CL-TS-PL-01
150-PL-20051-01C02-P,FPSO-CL-TS-PL-01
150-PL-20065-01C02-P,FPSO-CL-TS-PL-01
150-PL-20066-01C02-P,FPSO-CL-TS-PL-01
150-PL-20067-01C02-P,FPSO-CL-TS-PL-01
150-PL-23521-1CS,FPSO-CL-MA-OC-02
150-PL-43032-01C02,RD-01
150-PL-43303-01C02,FPSO-CL-TS-DC-01
150-PL-43304-01C02,FPSO-CL-TS-DC-01
150-PL-43305-01C02,FPSO-CL-TS-DC-01
150-PL-43309-01C02,FPSO-CL-TS-DC-01
150-SL-55001-01C02-H,FPSO-CL-TS-SD-01
150-VA-80003-01C02,FPSO-CL-TS-VA-01
150-VA-80007-01C02,FPSO-CL-TS-VA-01
150-WC-40001-01C02,FPSO-CL-TS-WC-01
150-WC-40002-01C02,FPSO-CL-TS-WC-01
150-WC-40003-01C02,FPSO-CL-TS-WC-01
150-WC-40004-01C02,FPSO-CL-TS-WC-01
150-WC-40005-01C02,FPSO-CL-TS-WC-01
150-WC-40006-01C02,FPSO-CL-TS-WC-01
150-WC-40030-01C02,FPSO-CL-TS-WC-01
150-WC-40056-01C02,FPSO-CL-TS-WC-01
150-WC-40070-01C02,FPSO-CL-TS-WC-01
150-WC-40404-01C02,FPSO-CL-TS-WC-01
150-WC-40405-01C02,FPSO-CL-TS-WC-01
150-WC-40503-1CG,FPSO-CL-TS-WC-02
150-WC-40504-1CG,FPSO-CL-TS-WC-02
150-WC-40509-1CG,FPSO-CL-TS-WC-02
150-WC-40512-1CG,FPSO-CL-TS-WC-02
150-WF-71010-01C02,RD-01
150-WF-71015-01C02,RD-01
150-WF-71023-01C02,RD-01
150-WF-71035-01C02,RD-01
150-WF-71045-01C02,RD-01
150-WF-71310-01K01,FPSO-CL-TS-WF-01
150-WF-71315-01K01,FPSO-CL-TS-WF-01
150-WF-71323-01K01,FPSO-CL-TS-WF-01
150-WF-71335-01K01,FPSO-CL-TS-WF-01
150-WF-71345-01K01,FPSO-CL-TS-WF-01
150-WF-71346-01K01,FPSO-CL-TS-WF-01
150-WF-71347-01K01,FPSO-CL-TS-WF-01
20-DC-57017-01C02,FPSO-CL-TS-DC-01
20-DC-57303-03C03,FPSO-CL-TS-DC-02
20-DC-57304-06C03,FPSO-CL-TS-DC-02
20-WZ-53814-1SS-CC,FPSO-CL-TS-WD-04
200-FH-43003-01C02,FPSO-CL-TS-FH-01
200-FH-43004-01C02,FPSO-CL-TS-FH-01
200-FH-43012-01C02,FPSO-CL-TS-FH-01
200-FH-43025-01C02,FPSO-CL-TS-FH-01
200-FH-43037-01C02,FPSO-CL-TS-FH-01
200-FH-43038-01C02,FPSO-CL-TS-FH-01
200-FH-43108-01C02,FPSO-CL-TS-FH-01
200-FH-43109-01C02,FPSO-CL-TS-FH-01
200-FH-43110-01C02,FPSO-CL-TS-FH-01
200-FH-43114-01C02,FPSO-CL-TS-FH-01
200-FH-43120-01C02,FPSO-CL-TS-FH-01
200-FH-43125-01C02,FPSO-CL-TS-FH-01
200-FH-43131-01C02,FPSO-CL-TS-FH-01
200-FH-43135-01C02,FPSO-CL-TS-FH-01
200-FH-43304-01C02,FPSO-CL-TS-FH-01
200-FH-43311-01C02,FPSO-CL-TS-FH-01
200-FH-43503-01C02,FPSO-CL-TS-FH-01
200-FH-43504-01C02,FPSO-CL-TS-FH-01
200-FH-43515-01C02,FPSO-CL-TS-FH-01
200-FH-43516-01C02,FPSO-CL-TS-FH-01
200-OC-33801-1CS,FPSO-CL-MA-OC-02
200-OC-33805-1CS,FPSO-CL-MA-OC-02
200-OC-33807-1CS,FPSO-CL-MA-OC-02
200-OC-33808-1CS,FPSO-CL-MA-OC-02
200-OC-33809-1CS,FPSO-CL-MA-OC-02
200-PG-20071-01C03-P,FPSO-CL-TS-PG-01
200-PG-20300-03C03-P,FPSO-CL-TS-PG-01
200-PG-20301-03C03-P,FPSO-CL-TS-PG-01
200-PG-20302-03C03-P,FPSO-CL-TS-PG-01
200-PG-20303-03C03-P,FPSO-CL-TS-PG-01
200-PG-23006-09C02-PA,FPSO-CL-TS-PG-05
200-PG-23007-09C03-PA,FPSO-CL-TS-PG-03
200-PG-23008-15S01-A,FPSO-CL-TS-PG-06
200-PG-23009-09C02,FPSO-CL-TS-PG-08
200-PG-23013-09C03-A,FPSO-CL-TS-PG-03
200-PG-23014-09C03-A,FPSO-CL-TS-PG-03
200-PG-23018-09C03-A,FPSO-CL-TS-PG-03
200-PG-23035-09C03-A,FPSO-CL-TS-PG-03
200-PG-23051-09C02-A,FPSO-CL-TS-PG-09
200-PG-23065-09C02-A,FPSO-CL-TS-PG-09
200-PG-23066-15D01,FPSO-CL-TS-PG-02
200-PG-23066-15S01,FPSO-CL-TS-PG-02
200-PG-23504-15S01,FPSO-CL-TS-PG-02
200-PG-23505-09C02-A,FPSO-CL-TS-PG-09
200-PG-24001-09C02,FPSO-CL-TS-PG-08
200-PL-20008-01C02-H,FPSO-CL-TS-PL-02
200-PL-20010-01C02-P,FPSO-CL-TS-PL-01
200-PL-20012-01C02-P,FPSO-CL-TS-PL-01
200-PL-20013-01C02-P,FPSO-CL-TS-PL-01
200-PL-20014-01C02-P,FPSO-CL-TS-PL-01
200-PL-20015-01C02-P,FPSO-CL-TS-PL-01
200-PL-20016-01C02-P,FPSO-CL-TS-PL-01
200-PL-20017-01C02-P,FPSO-CL-TS-PL-01
